1712490240.0258563	t
1712490240.1792994	h
1712490240.2511415	i
1712490240.3489833	s
1712490240.5290964	Key.space
1712490240.7379959	s
1712490240.9367788	h
1712490240.9950147	i
1712490241.1584554	s
1712490241.3342671	Key.space
1712490242.1355982	l
1712490242.218405	k
1712490242.31992	n
1712490242.3680418	s
1712490242.6051807	f
1712490242.9906	Key.space
1712490243.4714334	Key.space
1712490245.3313136	n
1712490245.4042425	n
1712490246.0845327	Key.ctrl
1712490247.2167072	Key.shift
1712490254.3898582	Key.space
1712490259.5788767	t
1712490259.6309144	h
1712490259.7014904	i
1712490259.8156888	s
1712490260.1610858	Key.space
1712490260.743704	h
1712490260.8166523	i
1712490260.8519962	s
1712490261.0523198	Key.space
1712490261.2826226	i
1712490261.3747241	t
1712490261.4560125	Key.space
1712490261.6227996	s
1712490261.7875593	a
1712490261.9632022	s
1712490266.0672152	Key.space
1712490266.7005901	Key.cmd
1712490266.7010484	2
1712490267.7943912	Key.ctrl
1712490268.100937	v
1712490284.280704	Key.cmd
1712490284.2819588	1
